PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Betsy Ross Closed CPS School Transfer,DPD,Planning and Administration,6059  South Wabash Av,Washington Park,T-178,Washington Park,T-178,Acquisition of shuttered Betsy Ross CPS for the adaptive reuse of the building.,65000,65000,1,07/23/2024,Approved,POINT (-87.62381 41.78426)
Galleria 89,DPD,Economic Development,8840-8856  South Commercial Av,Commercial Avenue,T-128,Commercial Avenue,T-128,Renovation of existing mixed-use building at 8840 S. Commercial to 12 residential units and two ground-floor commercial units; construction of mixed-use building at 8848 S Commerical  to 46 affordable units and two commercial units. Addition of plaza.,10600000,42506758,0.25,11/28/2023,Approved,POINT (-87.55135 41.73425)
Small Business Improvement Fund,DPD,Economic Development,Various,Humboldt Park,T-108,Humboldt Park,T-108,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,1000000,1,02/11/2020,Approved,
2222 S Michigan,DPD,Economic Development,2222 South Michigan Av,Michigan Cermak,T-029,Michigan Cermak,T-029,"Developer is proposing to renovate this historically significant building into approximately 38 residential units, 20 percent of which will be affordable, and approximately 51,200 square feet of commercial retail use.",10000000,62094318,0.16,01/24/2023,Approved,POINT (-87.6246 41.85166)
Calumet Area Industrial Uses Analysis,DPD,Economic Development,,South Chicago,T-093,South Chicago,T-093,"This proposal seeks funds to identify existing and proposed industrial uses in the Calumet, Burnside, and Pullman Industrial Corridors and analyze existing and potential impacts.",3657,500000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
28th Ward Street Resurfacing,CDOT,Public Infrastructure,,Midwest,T-095,Midwest,T-095,Resurfacing of various residential streets throughout the 28th Ward.,1290000,1400000,0.92,12/17/2024,Approved,POINT (-87.63245 41.88425)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Addison South,T-150,Addison South,T-150,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",2015000,2015000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
25th District Police Station,AIS,Municipal Facilities,5555 W Grand Av,Galewood Armitage,T-071,Galewood Armitage,T-071,MEP upgrades,1000000,2000000,0.5,10/20/2020,Approved,POINT (-87.76463 41.91839)
Streets for Cycling - Illinois Medical District,CDOT,Public Infrastructure,1600-1800 West Hubbard St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"Installation of new pedestrian refuge island, buffered bike lanes, neighborhood greenway, and pedestrian safety infrastructure using concrete, pavement markings, flexible delineators, and signage.",60000,60000,1,07/09/2019,Approved,POINT (-87.66711 41.88988)
Playground Repair Program: Washington (George) - NW,Park District,Parks and Open Spaces,5250 S Dr Martin Luther King Jr Dr,Washington Park,T-178,Washington Park,T-178,"Remove west play area and asphalt, new east play equipment with EWF surfacing",300000,300000,1,07/21/2020,Approved,POINT (-87.61608 41.79872)
TIF Works - Funding Request,DPD,Economic Development,Various,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,Soft Launch of Training Reimbursement Grant. Initial Focus on 10 TIF districts with industrial corridors and/or heavy manufacturing presence.,500000,500000,1,08/22/2023,Approved,
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,85382,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
Small Business Improvement Fund,DPD,Economic Development,Various,Western Av North,T-084,Western Av North,T-084,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1500000,1500000,1,11/05/2019,Approved,
SBIF Funding Recommendation,DPD,Economic Development,,Wilson Yard,T-110,Wilson Yard,T-110,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
SBIF Funding Recommendation,DPD,Economic Development,,Commercial Avenue,T-128,Commercial Avenue,T-128,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
2023 Underpass Rehab Program,CDOT,Public Infrastructure,100  West 47th St,47th State,T-136,47th State,T-136,"Construction of 9 underpass rehabilitation projects consisting of pavement reconstruction, curb and gutter and sidewalk replacement as well as any necessary drainage improvements and lighting upgrades.",352500,4400000,0.08,04/25/2023,Approved,POINT (-87.62825 41.8092)
Corridor Manager Program 2025,DPD,Economic Development,,Pulaski Corridor,T-069,Pulaski Corridor,T-069,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,50740,50740,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
Kells Park Expansion,Park District,Parks and Open Spaces,724 North Kedzie Av,Chicago Central Park,T-115,Chicago Central Park,T-115,"Project proposes to acquire two private parcels between Kells Park and the City vacant fire station, for the purpose of expanding the park. Funds to be used for acquisition, alley vacation, and environmental remediation 'clean to green'.",500000,500000,1,07/09/2019,Approved,POINT (-87.70653 41.89454)
SBIF Ordinances 2024,DPD,Economic Development,,79th Southwest Hwy,T-112,79th Southwest Hwy,T-112,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,500000,500000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Legler Public Library: Roof Replacement,AIS,Municipal Facilities,115 S Pulaski Rd,Madison/Austin,T-075,Madison/Austin,T-075,Replace roof on Legler Public Library.,300000,300000,1,10/01/2019,Approved,POINT (-87.72561 41.87932)
Galewood Armitage Major Amendment Study,DPD,Planning and Administration,Various,Galewood Armitage,T-071,Galewood Armitage,T-071,Redevelopment planning study for the TIF area for 12 year extension.,400000,400000,1,04/25/2023,Approved,
Garfield Park Street Resurfacing,CDOT,Public Infrastructure,1000-1200 West Washtenaw Av,Midwest,T-095,Midwest,T-095,"Resurfacing of roadway in poor condition, including addressing ADA issues",100000,100000,1,09/03/2019,Approved,POINT (-87.69356 41.86925)
Roseland Community Medical District Plan,DPD,"Plans, Studies, and Administration",,Roseland Michigan,T-113,Roseland Michigan,T-113,"Established by State of Illinois legislation in 2011, the Roseland Community Medical District is approximately 97 acres in size.
The legislation requires that a comprehensive plan must be prepared for the district.",75000,300000,1,11/17/2020,Approved,POINT (-87.63245 41.88425)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Devon/Sheridan,T-134,Devon/Sheridan,T-134,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",530000,530000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Kedzie Neighborhood Connector Bikeway,CDOT,Public Infrastructure,1-1000  North Kedzie Av,Homan Arthington,T-024,Homan Arthington,T-024,Installation of the Kedzie Neighborhood Connector Bikeway between Augusta and 26th St,46000,708000,0.06,04/25/2023,Approved,
Southwest Industrial Corridors TDL Uses Study,DPD,Economic Development,,Stevenson Brighton,T-149,Stevenson Brighton,T-149,"There is a pressing need to understand the impacts of freight and TDL related developments on infrastructure and communities.Â  The proposals seeks funds to conduct a study of existing and proposed freight/transportation, distribution, logistics uses.",77743,300000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
Corridor Manager Program 2025,DPD,Economic Development,,79th Street Corridor,T-056,79th Street Corridor,T-056,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,100000,100000,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
Bessemer Park,Park District,Parks and Open Space,8930  South Muskegon Av,Commercial Avenue,T-128,Commercial Avenue,T-128,Rebuild baseball diamond and reshape the ballfield infield and outfield by removing smailler unused diamonds. Replacement of existing water feature. TIF funds supplement funds from Chicago Cubs Charities and Morgan Wallen Foundation.,750000,1000000,0.75,12/19/2023,Approved,POINT (-87.55547 41.73277)
American Blues Theater,DPD,Economic Development,5627 North Lincoln Av,Lincoln Ave,T-077,Lincoln Ave,T-077,"The Developer is proposing to redevelop a former Dollar General store into an approximately 10,700 sq. foot theater to be used by American Blues Theater. This will primarily result in the construction and development of two separate theaters.",2500000,6893522,0.36,11/22/2022,Approved,POINT (-87.69579 41.98389)
Pulaski & Dickens Traffic Signal - Additional Funding Request,CDOT,Public Infrastructure,2099-2101  North Pulaski Rd,Pulaski Corridor,T-069,Pulaski Corridor,T-069,Additional funding request for the installation of a new traffic signal at the intersection of Pulaski and Dickens.,250000,250000,1,12/17/2024,Approved,POINT (-87.72661 41.91925)
Kedzie/Lake Study,DPD,"Plans, Studies, and Administration",Multiple Addresses,Midwest,T-095,Midwest,T-095,Study for the Redevelopment of the City owned properties surrounding The Hatchery development at Kedzie/Lake.,28000,100000,1,05/25/2021,Approved,
Logan Square Plazas,DPD,Parks and Open Space,2546-2560  North Milwaukee Av,Fullerton Milwaukee,T-087,Fullerton Milwaukee,T-087,"Concept Plan for three city owned parcels in Logan Square for open plaza, seating, fountain and greenspace,  multi-purpose plaza space and connection through a proposed development on 2525 Kedzie.",6000000,6000000,1,09/26/2023,Approved,POINT (-87.70507 41.92764)
Corridor Manager Program 2025,DPD,Economic Development,,107th Halsted,T-176,107th Halsted,T-176,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,36225,36225,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
2023 Pedestrian Safety Improvement Program,CDOT,Public Infrastructure,Various,LaSalle Central,T-147,LaSalle Central,T-147,Pedestrian safety improvements at various locations throughout Chicago.,1440000,3375000,0.43,04/25/2023,Approved,
Lincoln Ave Streetscape: Foster to Catalpa-Additional Funding,CDOT,Public Infrastructure,5200-5500  North Lincoln Av,Lincoln Av,T-077,Lincoln Av,T-077,Additional funding request for segment 1 of the Lincoln Avenue Streetscape to cover additional funding needs for construction. Requested TIF funds will replace capital bond funds programmed for the project prior to TIF end date extension.,1500000,9415000,0.16,06/25/2024,Approved,POINT (-87.69246 41.98174)
SBIF Funding Recommendation,DPD,Economic Development,,47th Ashland,T-117,47th Ashland,T-117,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
District 19 CPD,AIS,Municipal Facilities,2452 W Belmont Ave,Addison South,T-150,Addison South,T-150,Detective lockup & MEP,1500000,1500000,1,05/25/2021,Approved,POINT (-87.68937 41.93964)
Canal Viaduct: Jackson to Harrison - Additional Request,CDOT,Public Infrastructure,300-600 South Canal St,Canal Congress,T-063,Canal Congress,T-063,Additional funding request for the reconstruction of the Canal Street Viaduct from Jackson to Harrison. Request is for $6M of TIF to replace $6M of bond.,6000000,33533000,0.18,12/20/2022,Approved,POINT (-87.63959 41.87789)
Pre-Development Services for Opportunity Sites,DPD,"Plans, Studies, and Administration",,Commercial Avenue,T-128,Commercial Avenue,T-128,"Task Order Proposal Request (â€œTOPRâ€) for consultant to assist DPD's Project and Business Development (""PBD"") group to create conceptual redevelopment scenarios or plans for nine (9) of Opportunity Sites.",100000,900000,1,01/25/2022,Approved,POINT (-87.63245 41.88425)
47th Ward Western Ave Lighting Improvements,CDOT,Public Infrastructure,4000-4200  North Western Av,Western Av North,T-084,Western Av North,T-084,Installation of new street lighting on Western Avenue from a) Irving to Berteau and b) Montrose to Sunnyside in the 47th Ward.,1500000,1500000,1,08/22/2023,Approved,POINT (-87.68846 41.95435)
Vanderpoel ES - Plumbing System,CPS,Schools,9510  South Prospect Av,95th Western,T-009,95th Western,T-009,Provide plumbing system replacement for addition building.,516000,516000,1,07/26/2022,Under Further Review,POINT (-87.66546 41.72083)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Woodlawn,T-065,Woodlawn,T-065,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",2020000,2020000,1,07/09/2019,Approved,POINT (-87.63245 41.88425)
Woodlawn Zoning Overlay District,DPD,"Plans, Studies, and Administration",,West Woodlawn,T-171,Woodlawn,T-065,"Implement a form-based code or overlay district with design guidelines, to better direct development in a way that reflects community priorities and neighborhood character.",139000,139000,1,01/21/2020,Approved,POINT (-87.63245 41.88425)
Franklin ES - Plumbing System,CPS,Schools,225 West Evergreen Av,Near North,T-030,Near North,T-030,Provide plumbing system replacement,2860000,2860000,1,02/22/2022,Approved,POINT (-87.63651 41.90668)
Yellow Banana,DPD,Economic Development,7908  South Halsted St,79th Street Corridor,T-056,79th Street Corridor,T-056,"Acquisition, rehabilitation and remodeling of Save A Lot store.",2647500,25180000,0.54,07/26/2022,Approved,POINT (-87.64402 41.75004)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",341602,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Sulzer Library,AIS,Municipal Facilities,4455 N Lincoln Ave,Western Av North,T-084,Western Av North,T-084,ADA upgrades & Polling,130000,130000,1,05/25/2021,Under Further Review,POINT (-87.68467 41.96267)
LeClaire Courts Infrastructure Improvements,CDOT,Public Infrastructure,4458  South Cicero Av,Cicero Stevenson,T-185,Cicero Stevenson,T-185,"Construction Engineering/Management for the public infrastructure improvements, including roads, sidewalks,signals, lighting, sewer, earthwork, and landscaping, associated with the LeClaire Courts Redevelopment Project.",400000,17000000,0.02,09/24/2024,Approved,POINT (-87.74336 41.81197)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,Englewood Mall,T-021,Englewood Mall,T-021,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,250000,250000,1,04/07/2020,Approved,
Q1 2024 Arterial Resurfacing,CDOT,Public Infrastructure,,Western Av South,T-085,Western Av South,T-085,2024 arterial resurfacing with Complete Streets upgrades,6000000,6000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Southwest Industrial Corridors TDL Uses Study,DPD,Economic Development,,Ogden Pulaski,T-161,Ogden Pulaski,T-161,"There is a pressing need to understand the impacts of freight and TDL related developments on infrastructure and communities.Â  The proposals seeks funds to conduct a study of existing and proposed freight/transportation, distribution, logistics uses.",1950,300000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
Garfield Center,AIS,Municipal Facilities,10 S Kedzie Ave,Midwest,T-095,Kinzie Industrial Corridor,T-052,"MEP upgrades, fire/life safety upgrades, interior/exterior renovations",2200000,2200000,1,09/15/2020,Approved,POINT (-87.70659 41.88)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Bronzeville,T-061,Bronzeville,T-061,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Harrison Central,T-144,Harrison Central,T-144,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",106185,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,Midwest,T-095,Midwest,T-095,Replace damaged ornamental street light poles.,130000,130000,1,04/07/2020,Approved,
LaSalle Reimagined - 111 W. Monroe St,DPD,Affordable Housing,111 West Monroe St,LaSalle Central,T-147,LaSalle Central,T-147,"Redevelopment of underutilized office building (former BMO Harris HQ) into mixed-use and mixed income residences, hotel, restaurants, and other amenities.",40000000,180000000,0.22,04/25/2023,Approved,POINT (-87.63148 41.88068)
Playground Repair Program: Wilson (Frank),Park District,Parks and Open Spaces,4630 N Milwaukee Ave,Jefferson Park,T-057,Jefferson Park,T-057,Remove tiles / Retop PIP / Play equipment repairs and new spray feature,345000,345000,1,12/03/2019,Approved,POINT (-87.7589 41.96501)
SBIF Ordinances 2024,DPD,Economic Development,,Humboldt Park,T-108,Humboldt Park,T-108,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Little Village Lawndale High School Turf Field,CPS,Schools,3120 South Kostner Av,Little Village,T-152,Little Village,T-152,"Remove existing natural grass and asphalt pavement and provide a new artificial turf football/soccer field surrounded by four-lane polyurethane rubber surface running track, bleachers, press box, high light poles and drainage/site infrastructure.",4000000,8000000,0.5,04/25/2023,Approved,POINT (-87.73417 41.83612)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,River West,T-104,River West,T-104,Replace damaged ornamental street light poles.,510000,510000,1,04/07/2020,Approved,
Multiple IEPA UST Incident Closures,AIS,Municipal Facilities,1201  West 120th St,119th I57,T-125,119th I57,T-125,Hire consultants to sample and review historical documents regarding obsolete City-operated tanks. Prepare reports for the State to meet regulatory requirements.,25000,250000,1,07/26/2022,Approved,POINT (-87.65343 41.67586)
Timeline Theater-Additional Funding Request,DPD,Economic Development,5035 North Broadway,Lawrence Broadway,T-109,Lawrence Broadway,T-109,Additional TIF funding request to fund the increase in hard costs. Renovation & new construction of an existing warehouse into a performing arts theater. Project will demolish and newly construct the western 2/3rds of the building and renovate the eastern 1/3rd.,2700000,2700000,1,08/27/2024,Approved,POINT (-87.65978 41.97384)
Garfield Park - Right-of-Way Infrastructure,CDOT,Public Infrastructure,,Midwest,T-095,Central West,T-086,Partner with CDOT to repave sections of roadway and replace existing roadway lighting within Garfield Park.,5100000,5100000,1,11/17/2020,Approved,POINT (-87.63245 41.88425)
McPherson ES  - BAS,CPS,Schools,4728 North Wolcott Av,Western Av North,T-084,Western Av North,T-084,"This school have an obsolete and failing Building Automation System that controls the environmental mechanical system in the buildings.Â  This project would include upgrading, repairing and re-certifying the system.",400000,400000,1,11/16/2021,Approved,POINT (-87.67619 41.96819)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,26th King,T-141,26th King,T-141,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",30000,30000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
22nd District Police Station,AIS,Municipal Facilities,1900 West Monterey Av,Western Rock Island,T-142,Western Rock Island,T-142,ADA Upgrades,25000,25000,1,12/15/2020,Approved,POINT (-87.66887 41.69202)
Lighting Improvements-Touhy Ave from Rockwell Ave to Western Ave,CDOT,Public Infrastructure,,Touhy/Western,T-146,Touhy/Western,T-146,"Request for survey, design and construction management of a new staggered residential LED Smart lighting sytem at this location including new poles , underground conduits, luminaires , controllers and restoration.",365000,365000,1,09/21/2021,Approved,POINT (-87.63245 41.88425)
Fire Engine Company 92,AIS,Municipal Facilities,3112 West 111th St,111th Kedzie,T-073,111th Kedzie,T-073,MEP Upgrades,200000,200000,1,12/15/2020,Approved,POINT (-87.69883 41.69183)
Spencer Elementary - Roof/Envelope,CPS,Schools,214 N Lavergne Ave,Madison/Austin,T-075,Madison/Austin,T-075,"Replace the entire roof system for all buildings include associatedÂ masonry, window replacement at the annex,Â  and targeted interior finishes due to water infiltration.",4250000,8500000,0.5,09/15/2020,Under Further Review,POINT (-87.75033 41.88503)
Small Business Improvement Fund,DPD,Economic Development,Various,24th Michigan,T-072,24th Michigan,T-072,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,500000,1,06/16/2020,Approved,
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Bronzeville,T-061,Bronzeville,T-061,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",12346,500000,0.02,04/25/2023,Approved,
TIFWorks,DPD,Economic Development,Various,Sanitary & Ship Canal,T-042,Sanitary & Ship Canal,T-042,Replenish capital to subsidize upcoming TIFWorks projects,100000,100000,1,03/10/2020,Approved,
West Lawn Library,AIS,Municipal Facilities,4020 West 63rd St,63rd Pulaski,T-098,63rd Pulaski,T-098,"MEP: Remove and replace condensing unit Remove and replace Air Handling Unit .Interior, & DOJ ADA: Install automatic operator and refurbish doors",625000,625000,1,06/22/2021,Approved,POINT (-87.72384 41.77866)
Fire Engine Company 44 - Roof Replacement,AIS,Municipal Facilities,412 North Kedzie Av,Chicago Central Park,T-115,Chicago Central Park,T-115,Roof replacement,500000,500000,1,04/20/2021,Approved,POINT (-87.70636 41.88881)
Calumet Area Industrial Uses Analysis,DPD,Economic Development,,116th/Avenue O,T-182,116th/Avenue O,T-182,"This proposal seeks funds to identify existing and proposed industrial uses in the Calumet, Burnside, and Pullman Industrial Corridors and analyze existing and potential impacts.",23228,500000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
Columbus Ave Parallel Parking,CDOT,Public Infrastructure,3500-3700 West Columbus Av,79th Southwest Hwy,T-112,79th Southwest Hwy,T-112,Installation of parallel parking spaces in the existing grass parkway on the north side of Columbus Ave between St Louis and Lawndale.,1000000,1000000,1,06/22/2021,Approved,POINT (-87.70968 41.74496)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,63rd Ashland,T-143,63rd Ashland,T-143,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",139914,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
DSS - Facility Exterior Renovations,AIS,Municipal Facilities,10101 South Stony Island Av,Lake Calumet,T-103,Lake Calumet,T-103,Exterior renovations,450000,450000,1,11/17/2020,Approved,POINT (-87.5829 41.71095)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Diversey Narragansett,T-129,Diversey Narragansett,T-129,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,Commercial Avenue,T-128,Commercial Avenue,T-128,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,1297778,1297778,1,04/07/2020,Approved,
Division St. Bridges (Over the North Branch Canal and Over the River),CDOT,Public Infrastructure,500-1200 West Division St,Goose Island,T-023,Goose Island,T-023,Two new bridges (to replace the existing deteriorated ones) and roadway widening and improvement (from I-90 to Cleveland Ave.),3750000,93369430,0.04,03/23/2021,Approved,POINT (-87.64129 41.90372)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,West Woodlawn,T-171,West Woodlawn,T-171,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",22543,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
CPS Feasibility Study (Parkman),DPD,"Plans, Studies, and Administration",245 West 51st St,47th Halsted,T-121,47th Halsted,T-121,Consulting services needed to assist in developing an RFP to redevelop a vacant CPS owned property. Consultants will: Assist in Determining Scope of Work; Model Development Scenarios. Develop Concepts Renderings; Model Financial Projections.,100000,100000,1,12/15/2020,Under Further Review,POINT (-87.63257 41.8018)
AIS Fleet Facility,AIS,Municipal Facilities,3245 N Campbell Ave,Addison South,T-150,Addison South,T-150,"Interior/Exterior renovation, MEP",3000000,3000000,1,05/25/2021,Approved,POINT (-87.69021 41.94105)
Playground Repair Program: Winnemac,Park District,Parks and Open Spaces,5001 North Leavitt St,Western Av North,T-084,Western Av North,T-084,"Renovation of playground, relace equipment as needed and replace surfaces that are beyond repair.",200000,200000,1,11/05/2019,Approved,POINT (-87.68417 41.97244)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Replace damaged ornamental street light poles.,880000,880000,1,04/07/2020,Approved,
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Englewood Neighborhood,T-106,Englewood Neighborhood,T-106,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",225440,225440,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Police Department: Area 1,AIS,Municipal Facilities,5101 S Wentworth Ave,47th Halsted,T-121,47th Halsted,T-121,"Water infiltration repairs including foundation repairs and restoration of
interior (repair walls, replace lockers).",500000,500000,1,07/21/2020,Approved,POINT (-87.63038 41.80141)
The Come Home Initiative,DPD,Affordable Housing,Various,Midwest,T-095,Midwest,T-095,"An initiative to develop 'missing-middle' infill housing on city-owned land in 6 focus areas (Auburn Gresham, Bronzeville, Englewood, East Garfield Park, Humboldt Park, and Woodlawn).",3000000,12000000,0.25,04/25/2023,On hold,
E. G. Woode - Additional Funding Request,DPD,Economic Development,1022  West 63rd St,Englewood Neighborhood,T-106,Englewood Neighborhood,T-106,"Rehab for multi-tenant restaurant project that includes Ellieâ€™s Urban Grill (fast-casual dining), Pass the Peas (casual soul food), and Englewood Kitchen (co-sharing kitchen incubator).",1023402,7139665,0.14,08/22/2023,Approved,POINT (-87.65049 41.77992)
Arterial Resurfacing - North Central Park Ave,CDOT,Public Infrastructure,800-1300 N Central Park Av,Chicago Central Park,T-115,Chicago Central Park,T-115,"Resurfacing, ADA ramps, curb extensions, pedestrian refuge islands, and radii geometric improvements.",590000,1000000,1,10/20/2020,Approved,POINT (-87.71631 41.89598)
CPS ADA Polling Locations - South Region Part 1,CPS,Schools,,Englewood Neighborhood,T-106,Englewood Neighborhood,T-106,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,73200,263600,1,07/27/2021,Referred Back to Department,POINT (-87.63245 41.88425)
Central Area Plan - Phase 2,DPD,Planning and Administration,Various,24th Michigan,T-072,24th Michigan,T-072,This will be a framework plan to set a new vision for Chicago's Central City to align with priorities and processes identified from We Will.,29750,500000,0.06,04/25/2023,Approved,
Lotus Avenue Substation Replacement - Engineering/Design,CTA,Transit Facilities,342 N. Lotus Avenue,Madison/Austin,T-075,Madison/Austin,T-075,The Lotus substation equipment is at the end of its useful service life. Rebuilding the substation will correct deficiencies and avoid service reductions due to failure and overload of aging equipment. Funding for design will move this project to â€œshovel readyâ€ status.,4500000,30900000,0.15,10/01/2019,Under Further Review,POINT (-87.76175 41.88704)
Lawndale Line Preliminary Rail Road Study,DPD,Economic Development,,Western Ogden,T-048,Western Ogden,T-048,"Conduct preliminary title, survey, and legal work to determine feasibility of acquiring and converting CSX rail corridor into ""rails and trails"" project.",30000,300000,1,09/15/2020,Approved,POINT (-87.63245 41.88425)
Kennedy Park Improvements,Park District,Parks and Open Space,11320  South Western Av,Western Rock Island,T-142,Western Rock Island,T-142,"Site work to include the replacement of the soft surface playground material, installation of a new drinking fountain, and pathway paving throughout the park. Field house improvements to include new doors, windows, AC units, locker rooms and bathroom upgrades.",1500000,1500000,1,11/19/2024,On Hold,POINT (-87.681 41.68717)
